01,北海道,144.113713026,43.455450781
02,青森県,140.77118863,40.886966033
03,岩手県,141.362352211,39.599386522
04,宮城県,140.974951346,38.387799467
05,秋田県,140.344913771,39.692565576
06,山形県,140.091557295,38.472028084
07,福島県,140.103936885,37.384699098
08,茨城県,140.267709516,36.341864283
09,栃木県,139.80935163,36.677002703
10,群馬県,139.033466243,36.521917044
11,埼玉県,139.305813945,36.018518213
12,千葉県,140.312702427,35.50186798
13,東京都,146.398415424,30.061666531
14,神奈川県,139.355985661,35.401904215
15,新潟県,138.767988569,37.644069245
16,富山県,137.265658192,36.627498939
17,石川県,136.802124583,36.961210751
18,福井県,136.140794691,35.820026163
19,山梨県,138.656909706,35.570441382
20,長野県,138.032145372,36.114234793
21,岐阜県,136.964549912,35.799514317
22,静岡県,138.325184068,35.120440979
23,愛知県,137.254170165,35.001560297
24,三重県,136.420083385,34.49008884
25,滋賀県,136.10955737,35.247090613
26,京都府,135.452219002,35.242512292
27,大阪府,135.419682314,34.661805627
28,兵庫県,134.860623939,34.914927106
29,奈良県,135.88507369,34.320158436
30,和歌山県,135.506813529,33.909436946
31,鳥取県,133.825717231,35.332937083
32,島根県,132.52556296,35.774416614
33,岡山県,133.840051809,34.825811345
34,広島県,132.75345248,34.570610828
35,山口県,131.633161673,34.255582204
36,徳島県,134.240209883,33.895912903
37,香川県,133.983471406,34.28857651
38,愛媛県,132.855453164,33.599394447
39,高知県,133.393670456,33.292987615
40,福岡県,130.612040066,33.625197685
41,佐賀県,130.141927784,33.284717828
42,長崎県,129.362539758,33.346143208
43,熊本県,130.646427188,32.645064039
44,大分県,131.454778931,33.227166859
45,宮崎県,131.290363054,32.099695632
46,鹿児島県,129.800402696,29.663546402
47,沖縄県,127.13302155,25.965599926
